customer_id,age,gender,city,segment,employment_type,annual_income,months_on_book,num_products,income_log,avg_monthly_balance,num_active_products,digital_engagement_score,complaints_last_year,num_branch_visits,credit_card_usage,churn
CUST100000,25,F,Chandigarh,Mass Affluent,Self-Employed,504300.0,194,3,13.130928591009509,15100.0,3,42,0,19,50,0
CUST100001,62,F,Jaipur,Retail,Student,266600.0,89,5,12.493508437657445,12900.0,5,89,1,3,79,0
CUST100002,56,M,Mumbai,Retail,Salaried,374400.0,67,1,12.833082694522178,11200.0,1,33,0,8,1,0
CUST100003,44,M,Bhopal,SME,Salaried,297600.0,13,2,12.603508942150482,15500.0,2,91,0,13,62,0
CUST100004,44,F,Chandigarh,Retail,Self-Employed,623000.0,34,1,13.342303402904738,25200.0,1,58,1,4,26,0
CUST100005,67,F,Chennai,Retail,Salaried,250000.0,13,2,12.429220196836383,27000.0,2,68,0,11,53,0
CUST100006,25,M,Pune,Retail,Self-Employed,250000.0,83,2,12.429220196836383,22900.0,2,50,1,13,81,0
CUST100007,58,M,Mumbai,Corporate,Self-Employed,419600.0,49,2,12.947059538723556,48800.0,2,57,3,4,25,0
CUST100008,31,M,Indore,HNWI,Business Owner,250000.0,10,2,12.429220196836383,4700.0,2,14,0,15,71,0
CUST100009,26,F,Kochi,Mass Affluent,Salaried,361900.0,188,4,12.799125972742269,7300.0,4,45,2,5,55,0
CUST100010,49,F,Mumbai,SME,Salaried,1091200.0,211,1,13.902789482493203,10900.0,1,50,3,12,73,0
CUST100011,73,M,Surat,Retail,Business Owner,250000.0,215,3,12.429220196836383,38000.0,3,94,3,19,71,0
CUST100012,60,M,Pune,Corporate,Salaried,672700.0,201,3,13.419056230559343,15900.0,3,34,3,19,79,0
CUST100013,62,M,Jaipur,Retail,Salaried,250000.0,35,2,12.429220196836383,7700.0,2,74,1,6,74,0
CUST100014,59,F,Hyderabad,Retail,Salaried,598800.0,44,2,13.302684601532896,21300.0,2,17,2,17,66,0
CUST100015,63,M,Indore,Retail,Salaried,405000.0,203,5,12.91164481522143,9200.0,5,87,1,11,38,0
CUST100016,48,M,Pune,SME,Salaried,384700.0,9,2,12.860221688165133,10400.0,2,43,0,0,79,0
