entity_id,entity_type,country,doc_type,doc_verified,num_bank_accounts,txn_volume_monthly,has_pep_link,has_sanction_link,adverse_media_hits,years_in_business,ownership_transparency,txn_volume_log,high_risk_country,risk_score,risk_category,alert_flag
ENT300000,Corporate,Switzerland,PAN,1,5,89600.0,0,0,1,6,High,11.403121759615027,0,8,Low,0
ENT300001,Individual,Seychelles,Driving License,1,6,36300.0,0,0,0,23,Medium,10.499600568082863,1,12,Low,0
ENT300002,Individual,UAE,Driving License,1,4,60800.0,0,0,0,19,Low,11.015361515187424,0,6,Low,0
ENT300003,Individual,Hong Kong,Driving License,1,7,30100.0,0,0,0,28,High,10.31231367277647,0,0,Low,0
ENT300004,Corporate,Cayman Islands,Passport,1,1,242700.0,0,0,0,27,Medium,12.399585512019348,1,12,Low,0
ENT300005,Corporate,USA,Driving License,1,5,114300.0,0,0,0,14,High,11.646590598651017,0,0,Low,0
ENT300006,Individual,Mauritius,Voter ID,1,5,76500.0,0,0,0,22,Medium,11.245059091624615,1,12,Low,0
ENT300007,Individual,UK,Aadhaar,1,5,39100.0,0,0,2,25,High,10.573903321093981,0,16,Low,0
ENT300008,Individual,Cyprus,Voter ID,1,1,7200.0,0,0,0,7,High,8.881975184248867,1,12,Low,0
ENT300009,Individual,Cyprus,Aadhaar,1,5,96500.0,0,0,1,24,High,11.477308649967686,1,20,Low,0
ENT300010,Individual,Singapore,PAN,1,5,158600.0,0,0,0,19,Low,11.974146893333247,0,6,Low,0
ENT300011,Individual,Switzerland,Aadhaar,0,6,310100.0,0,0,0,14,High,12.644653329849545,0,5,Low,0
ENT300012,Individual,Seychelles,PAN,1,5,161200.0,0,0,0,27,High,11.990407312509369,1,12,Low,0
ENT300013,Corporate,Seychelles,PAN,1,2,8700.0,0,0,0,22,High,9.071193240566025,1,12,Low,0
ENT300014,Corporate,Cyprus,Driving License,1,3,46100.0,0,0,0,8,Medium,10.738589920723442,1,12,Low,0
ENT300015,Corporate,Singapore,Aadhaar,1,3,15100.0,0,0,0,21,High,9.62251624577579,0,0,Low,0
ENT300016,Corporate,China,PAN,1,6,75700.0,0,0,0,15,Medium,11.234546649377918,0,0,Low,0
ENT300017,Partnership,Mauritius,PAN,1,1,32200.0,0,1,0,27,Low,10.379752786950895,1,58,High,1
ENT300018,Individual,India,Passport,0,6,7600.0,0,0,1,25,High,8.936035096566041,0,13,Low,0
ENT300019,Individual,Cayman Islands,Aadhaar,1,3,248900.0,0,0,0,1,Medium,12.424810506025395,1,12,Low,0
ENT300020,Corporate,Mauritius,Aadhaar,1,7,25300.0,1,0,2,7,Medium,10.138599199626192,1,43,High,1
ENT300021,Corporate,UAE,Aadhaar,1,7,16600.0,0,0,0,20,Low,9.717218213494077,0,6,Low,0
ENT300022,Corporate,Cyprus,Aadhaar,1,2,450000.0,0,0,0,15,High,13.017005083966255,1,12,Low,0
ENT300023,Individual,UK,Voter ID,1,6,10900.0,0,0,3,11,High,9.296609807128359,0,24,Medium,0
ENT300024,Corporate,UK,PAN,1,1,95300.0,0,0,0,7,Medium,11.464795582766675,0,0,Low,0
ENT300025,Individual,Cayman Islands,Aadhaar,1,4,349800.0,0,0,0,25,High,12.765119700338996,1,12,Low,0
ENT300026,Individual,BVI,Passport,1,2,65800.0,0,0,0,26,Medium,11.094390314766315,1,12,Low,0
ENT300027,Corporate,India,Driving License,1,5,53500.0,0,0,0,25,High,10.887455624298198,0,0,Low,0
ENT300028,Corporate,Panama,PAN,1,1,24500.0,0,0,2,21,High,10.106469212026385,1,28,Medium,0
ENT300029,Individual,Cyprus,Passport,1,7,2620100.0,0,0,0,10,High,14.778723424612583,1,13,Low,0
ENT300030,Corporate,China,PAN,1,7,48900.0,0,0,0,28,High,10.797553125151618,0,0,Low,0
ENT300031,Individual,Hong Kong,Driving License,0,6,20500.0,0,0,0,23,Medium,9.928228944424575,0,5,Low,0
ENT300032,Trust,UK,Aadhaar,1,1,76600.0,0,0,0,4,Medium,11.246365410473757,0,0,Low,0
