loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,loan_purpose,age,annual_income,employment_type,months_on_book,num_products,segment,loan_to_income,emi_to_income,income_log,loan_amount_log,credit_bureau_score,default
LOAN200000,CUST101113,Business Loan,221000.0,14.58,84,Vehicle Purchase,36,250000.0,Self-Employed,214,5,Retail,0.884,0.12628571428571428,12.429220196836383,12.30592250537653,552,0
LOAN200001,CUST102985,Home Loan,114000.0,12.56,240,Travel,56,311700.0,Retired,128,3,Corporate,0.36573628488931664,0.01828681424446583,12.649799673963308,11.643962499267984,498,0
LOAN200002,CUST102914,Business Loan,138000.0,18.48,120,Debt Consolidation,42,567900.0,Self-Employed,181,2,Retail,0.24300052826201796,0.024300052826201797,13.249702386737367,11.835016210489899,515,0
LOAN200003,CUST104398,Auto Loan,65000.0,15.5,48,Medical Expense,24,551400.0,Business Owner,207,5,Mass Affluent,0.11788175553137469,0.02947043888284367,13.22021759113566,11.082157933374816,484,0
LOAN200004,CUST103788,Business Loan,628000.0,13.15,120,Wedding,73,275800.0,Salaried,22,1,Mass Affluent,2.277012327773749,0.22770123277737492,12.527434870150573,13.350297037805756,330,0
LOAN200005,CUST100266,Home Loan,50000.0,10.3,84,Medical Expense,45,257600.0,Salaried,78,1,Mass Affluent,0.19409937888198758,0.027728482697426792,12.459167155192379,10.819798284210286,300,0
LOAN200006,CUST107840,Auto Loan,357000.0,18.29,48,Home Purchase,47,250000.0,Business Owner,83,2,Retail,1.428,0.35700000000000004,12.429220196836383,12.785493861878301,329,0
LOAN200007,CUST101981,Home Loan,188000.0,10.07,84,Education,54,283800.0,Salaried,123,3,Retail,0.6624383368569415,0.09463404812242021,12.556028567310046,12.144202560946876,526,0
LOAN200008,CUST106095,Personal Loan,202000.0,8.58,84,Debt Consolidation,55,842400.0,Self-Employed,204,1,Retail,0.23979107312440645,0.03425586758920092,13.644011426885719,12.216027926866138,676,0
LOAN200009,CUST102198,Auto Loan,115000.0,13.61,36,Business Expansion,51,434400.0,Salaried,169,5,SME,0.2647329650092081,0.08824432166973603,12.981723349624996,11.652696102959753,549,0
LOAN200010,CUST105941,Business Loan,104000.0,12.16,12,Travel,46,250000.0,Self-Employed,69,2,Retail,0.416,0.416,12.429220196836383,11.552155793461898,359,0
LOAN200011,CUST103010,Business Loan,246000.0,17.65,48,Debt Consolidation,40,318900.0,Salaried,42,2,Retail,0.7714016933207902,0.19285042333019756,12.672635988772473,12.413090879946887,430,0
LOAN200012,CUST107759,Business Loan,284000.0,13.35,240,Business Expansion,43,289300.0,Business Owner,202,2,Mass Affluent,0.9816799170411338,0.04908399585205669,12.575222947577679,12.556733038263905,522,0
LOAN200013,CUST106608,Auto Loan,504000.0,17.79,24,Home Renovation,25,250000.0,Salaried,138,2,SME,2.016,1.008,12.429220196836383,13.130333531178522,522,0
