txn_id,customer_id,amount,txn_type,channel,merchant,hour_of_day,day_of_week,is_international,amount_log,is_night_txn,is_weekend,is_high_amount,is_fraud
TXN1000000,CUST100866,72.36,RTGS,ATM,Reliance,1,0,1,4.295378827948209,1,0,0,0
TXN1000001,CUST101504,76.68,International,Branch,Amazon,11,6,0,4.35259782398307,0,1,0,0
TXN1000002,CUST105656,1425.43,International,Branch,Myntra,19,5,0,7.262930098296354,0,1,0,0
TXN1000003,CUST103219,109.31,UPI Payment,POS Terminal,Big Bazaar,13,2,0,4.7032945839812905,0,0,0,0
TXN1000004,CUST100563,178.55,UPI Payment,POS Terminal,Swiggy,3,2,0,5.1904537206720915,1,0,0,0
TXN1000005,CUST105289,435.25,RTGS,Internet Banking,Big Bazaar,20,5,0,6.078215473516637,0,1,0,0
TXN1000006,CUST106617,240.95,Cheque,Branch,Petrol Pump,18,4,0,5.488731093239328,0,0,0,0
TXN1000007,CUST107317,186.31,International,Internet Banking,Big Bazaar,9,2,1,5.232764998307801,0,0,0,0
TXN1000008,CUST106251,10.0,ATM Withdrawal,POS Terminal,Reliance,22,5,0,2.3978952727983707,0,1,0,0
TXN1000009,CUST103173,295.55,International,Mobile App,Jeweller,9,2,0,5.692215838284736,0,0,0,1
TXN1000010,CUST102115,7362.97,POS,Mobile App,Pharmacy,10,4,0,8.904354468471775,0,0,0,0
TXN1000011,CUST105704,1253.08,POS,Branch,Big Bazaar,2,0,0,7.134157515011267,1,0,0,0
TXN1000012,CUST103267,205.22,RTGS,Branch,Big Bazaar,17,1,0,5.328943560089797,0,0,0,0
TXN1000013,CUST105930,940.42,UPI Payment,ATM,Amazon,23,4,0,6.847389373695695,1,0,0,0
TXN1000014,CUST103060,1247.94,International,Branch,Swiggy,17,2,0,7.130050470540951,0,0,0,0
TXN1000015,CUST105637,88.61,POS,Branch,Pharmacy,2,5,0,4.495466920896128,1,1,0,0
TXN1000016,CUST100276,3877.38,POS,Mobile App,Big Bazaar,9,5,0,8.263172819655967,0,1,0,0
TXN1000017,CUST107106,541.06,Online Transfer,Mobile App,Zomato,8,5,0,6.2953766964197415,0,1,0,0
TXN1000018,CUST103567,229.94,POS,POS Terminal,Big Bazaar,12,6,0,5.44215793652371,0,1,0,0
TXN1000019,CUST104640,7064.14,RTGS,POS Terminal,Hospital,20,6,0,8.862928110916632,0,1,0,0
TXN1000020,CUST101606,10.0,ATM Withdrawal,Internet Banking,Big Bazaar,14,1,0,2.3978952727983707,0,0,0,0
TXN1000021,CUST103535,48.6,ATM Withdrawal,Internet Banking,Jeweller,5,0,0,3.903990833730882,1,0,0,0
TXN1000022,CUST103576,1280.34,NEFT,ATM,Myntra,17,6,1,7.15566168432217,0,1,0,0
TXN1000023,CUST101207,1357.43,Cheque,POS Terminal,Big Bazaar,22,3,0,7.214084900118871,0,0,0,0
TXN1000024,CUST102239,7818.29,NEFT,Branch,Hospital,18,1,0,8.964349036578563,0,0,0,0
TXN1000025,CUST107446,10.0,Cheque,Branch,Petrol Pump,21,2,0,2.3978952727983707,0,0,0,0
TXN1000026,CUST103546,1892.51,ATM Withdrawal,ATM,Myntra,15,5,0,7.546187528553149,0,1,0,0
TXN1000027,CUST107144,42.88,ATM Withdrawal,Internet Banking,Flipkart,21,6,0,3.7814586354070294,0,1,0,0
TXN1000028,CUST102762,857.5,Cheque,Mobile App,Hospital,7,6,0,6.7551866803375304,0,1,0,0
TXN1000029,CUST106528,358.87,Online Transfer,POS Terminal,Pharmacy,23,2,0,5.885742855122727,1,0,0,0
TXN1000030,CUST103827,1862.77,International,POS Terminal,Electronics Store,15,4,0,7.530356597074356,0,0,0,1
TXN1000031,CUST105648,264.1,Cheque,Mobile App,Big Bazaar,7,1,0,5.5801071132949795,0,0,0,0
TXN1000032,CUST104778,2489.48,UPI Payment,ATM,DMart,22,6,0,7.8202307419651325,0,1,0,0
TXN1000033,CUST104667,90.87,RTGS,Mobile App,Pharmacy,2,5,0,4.520374534283375,1,1,0,0
TXN1000034,CUST101014,348.42,NEFT,POS Terminal,Pharmacy,17,5,0,5.856274637046298,0,1,0,0
TXN1000035,CUST106512,570.79,UPI Payment,ATM,Swiggy,0,0,0,6.3487717911028945,1,0,0,0
TXN1000036,CUST100972,8250.77,UPI Payment,Internet Banking,DMart,15,3,0,9.018183001771687,0,0,0,0
TXN1000037,CUST100094,1806.79,ATM Withdrawal,Mobile App,Reliance,6,5,0,7.499860383763659,0,1,0,0
TXN1000038,CUST100805,582.8,ATM Withdrawal,Internet Banking,Zomato,11,0,1,6.3695584584200144,0,0,0,0
TXN1000039,CUST101609,1276.21,POS,POS Terminal,Zomato,7,4,0,7.152433290437285,0,0,0,0
TXN1000040,CUST104531,2850.01,Online Transfer,POS Terminal,Petrol Pump,12,0,0,7.955428596447734,0,0,0,0
TXN1000041,CUST107046,791.69,Cheque,Mobile App,Petrol Pump,20,0,0,6.675432224650634,0,0,0,0
TXN1000042,CUST101249,63.72,Online Transfer,Mobile App,Amazon,18,2,0,4.170070272750237,0,0,0,0
TXN1000043,CUST106534,1250.22,International,Internet Banking,Flipkart,15,4,0,7.1318743543180245,0,0,0,0
TXN1000044,CUST105394,383.38,International,Mobile App,Swiggy,6,6,0,5.951631646606258,0,1,0,0
TXN1000045,CUST102161,213.71,POS,Branch,Petrol Pump,6,0,0,5.3692882804186155,0,0,0,0
TXN1000046,CUST104654,98.16,Cheque,ATM,Myntra,3,0,0,4.5967347071669895,1,0,0,0
TXN1000047,CUST103725,1144.59,International,POS Terminal,Zomato,0,0,0,7.043675067118003,1,0,0,0
TXN1000048,CUST100620,1013.94,ATM Withdrawal,Internet Banking,Zomato,4,5,0,6.922584776428135,1,1,0,0
TXN1000049,CUST103721,72.24,UPI Payment,Internet Banking,Pharmacy,6,1,0,4.2937417198063095,0,0,0,0
TXN1000050,CUST102824,55.09,RTGS,Mobile App,Zomato,12,3,0,4.026957543520245,0,0,0,0
TXN1000051,CUST102373,12148.03,RTGS,ATM,Reliance,8,3,0,9.405004610190733,0,0,0,0
TXN1000052,CUST106420,1899.09,NEFT,Branch,Zomato,21,1,1,7.549656532453736,0,0,0,0
TXN1000053,CUST100092,471.59,RTGS,Internet Banking,Flipkart,20,5,0,6.1582282049859876,0,1,0,0
TXN1000054,CUST100897,1201.4,Online Transfer,ATM,Big Bazaar,16,3,1,7.092074838438765,0,0,0,0
TXN1000055,CUST107958,173.83,NEFT,POS Terminal,Reliance,4,5,0,5.163814073209558,1,1,0,0
TXN1000056,CUST106876,295.8,Online Transfer,POS Terminal,Flipkart,4,4,1,5.693058511293225,1,0,0,0
TXN1000057,CUST101824,419.32,POS,Internet Banking,Electronics Store,7,1,0,6.04101632593723,0,0,0,0
TXN1000058,CUST107749,2288.71,International,Internet Banking,Petrol Pump,17,3,0,7.736180450974488,0,0,0,0
